year,source,metric,value_tonnes
1540,castaneda_2013,stock_upper,1580.6
1541,castaneda_2013,production_tonnes,7.16
1541,castaneda_2013,stock_lower,1321.76
1541,castaneda_2013,stock_upper,1587.8
1542,castaneda_2013,production_tonnes,7.16
1542,castaneda_2013,stock_lower,1328.92
1542,castaneda_2013,stock_upper,1594.9
1543,castaneda_2013,production_tonnes,7.16
1543,castaneda_2013,stock_lower,1336.08
1543,castaneda_2013,stock_upper,1602.1
1544,castaneda_2013,production_tonnes,7.16
1544,castaneda_2013,stock_lower,1343.24
1544,castaneda_2013,stock_upper,1609.2
1545,castaneda_2013,production_tonnes,8.5
1545,castaneda_2013,stock_lower,1351.74
1545,castaneda_2013,stock_upper,1617.7
1546,castaneda_2013,production_tonnes,8.5
1546,castaneda_2013,stock_lower,1360.23
1546,castaneda_2013,stock_upper,1626.2
1547,castaneda_2013,production_tonnes,8.5
1547,castaneda_2013,stock_lower,1368.73
1547,castaneda_2013,stock_upper,1634.7
1548,castaneda_2013,production_tonnes,8.5
1548,castaneda_2013,stock_lower,1377.23
1548,castaneda_2013,stock_upper,1643.2
1549,castaneda_2013,production_tonnes,8.5
1549,castaneda_2013,stock_lower,1385.73
1549,castaneda_2013,stock_upper,1651.7
1550,castaneda_2013,production_tonnes,8.5
1550,castaneda_2013,stock_lower,1394.22
1550,castaneda_2013,stock_upper,1660.2
1551,castaneda_2013,production_tonnes,8.5
1551,castaneda_2013,stock_lower,1402.72
1551,castaneda_2013,stock_upper,1668.7
1552,castaneda_2013,production_tonnes,8.5
1552,castaneda_2013,stock_lower,1411.22
1552,castaneda_2013,stock_upper,1677.2
1553,castaneda_2013,production_tonnes,8.5
1553,castaneda_2013,stock_lower,1419.72
1553,castaneda_2013,stock_upper,1685.7
1554,castaneda_2013,production_tonnes,8.5
1554,castaneda_2013,stock_lower,1428.21
1554,castaneda_2013,stock_upper,1694.2
1555,castaneda_2013,production_tonnes,8.5
1555,castaneda_2013,stock_lower,1436.71
1555,castaneda_2013,stock_upper,1702.7
1556,castaneda_2013,production_tonnes,8.5
1556,castaneda_2013,stock_lower,1445.21
1556,castaneda_2013,stock_upper,1711.2
1557,castaneda_2013,production_tonnes,8.5
1557,castaneda_2013,stock_lower,1453.71
1557,castaneda_2013,stock_upper,1719.7
1558,castaneda_2013,production_tonnes,8.5
1558,castaneda_2013,stock_lower,1462.2
1558,castaneda_2013,stock_upper,1728.2
1559,castaneda_2013,production_tonnes,8.5
1559,castaneda_2013,stock_lower,1470.7
1559,castaneda_2013,stock_upper,1736.7
1560,castaneda_2013,production_tonnes,8.5
1560,castaneda_2013,stock_lower,1479.2
1560,castaneda_2013,stock_upper,1745.2
1561,castaneda_2013,production_tonnes,6.84
1561,castaneda_2013,stock_lower,1486.04
1561,castaneda_2013,stock_upper,1752
1562,castaneda_2013,production_tonnes,6.84
1562,castaneda_2013,stock_lower,1492.88
1562,castaneda_2013,stock_upper,1758.9
1563,castaneda_2013,production_tonnes,6.84
1563,castaneda_2013,stock_lower,1499.72
1563,castaneda_2013,stock_upper,1765.7
1564,castaneda_2013,production_tonnes,6.84
1564,castaneda_2013,stock_lower,1506.56
1564,castaneda_2013,stock_upper,1772.6
1565,castaneda_2013,production_tonnes,6.84
1565,castaneda_2013,stock_lower,1513.4
1565,castaneda_2013,stock_upper,1779.4
1566,castaneda_2013,production_tonnes,6.84
1566,castaneda_2013,stock_lower,1520.24
1566,castaneda_2013,stock_upper,1786.2
1567,castaneda_2013,production_tonnes,6.84
1567,castaneda_2013,stock_lower,1527.08
1567,castaneda_2013,stock_upper,1793.1
1568,castaneda_2013,production_tonnes,6.84
1568,castaneda_2013,stock_lower,1533.92
1568,castaneda_2013,stock_upper,1799.9
1569,castaneda_2013,production_tonnes,6.84
1569,castaneda_2013,stock_lower,1540.76
1569,castaneda_2013,stock_upper,1806.8
1570,castaneda_2013,production_tonnes,6.84
1570,castaneda_2013,stock_lower,1547.6
1570,castaneda_2013,stock_upper,1813.6
1571,castaneda_2013,production_tonnes,6.84
1571,castaneda_2013,stock_lower,1554.44
1571,castaneda_2013,stock_upper,1820.4
1572,castaneda_2013,production_tonnes,6.84
1572,castaneda_2013,stock_lower,1561.28
1572,castaneda_2013,stock_upper,1827.3
1573,castaneda_2013,production_tonnes,6.84
1573,castaneda_2013,stock_lower,1568.12
1573,castaneda_2013,stock_upper,1834.1
1574,castaneda_2013,production_tonnes,6.84
1574,castaneda_2013,stock_lower,1574.96
1574,castaneda_2013,stock_upper,1841
1575,castaneda_2013,production_tonnes,6.84
1575,castaneda_2013,stock_lower,1581.8
1575,castaneda_2013,stock_upper,1847.8
1576,castaneda_2013,production_tonnes,6.84
1576,castaneda_2013,stock_lower,1588.64
1576,castaneda_2013,stock_upper,1854.6
1577,castaneda_2013,production_tonnes,6.84
1577,castaneda_2013,stock_lower,1595.48
1577,castaneda_2013,stock_upper,1861.5
1578,castaneda_2013,production_tonnes,6.84
1578,castaneda_2013,stock_lower,1602.32
1578,castaneda_2013,stock_upper,1868.3
1579,castaneda_2013,production_tonnes,6.84
1579,castaneda_2013,stock_lower,1609.16
1579,castaneda_2013,stock_upper,1875.2
1580,castaneda_2013,production_tonnes,6.84
1580,castaneda_2013,stock_lower,1616
1580,castaneda_2013,stock_upper,1882
1581,castaneda_2013,production_tonnes,7.38
1581,castaneda_2013,stock_lower,1623.38
1581,castaneda_2013,stock_upper,1889.4
1582,castaneda_2013,production_tonnes,7.38
1582,castaneda_2013,stock_lower,1630.76
1582,castaneda_2013,stock_upper,1896.8
1583,castaneda_2013,production_tonnes,7.38
1583,castaneda_2013,stock_lower,1638.14
1583,castaneda_2013,stock_upper,1904.1
1584,castaneda_2013,production_tonnes,7.38
1584,castaneda_2013,stock_lower,1645.52
1584,castaneda_2013,stock_upper,1911.5
1585,castaneda_2013,production_tonnes,7.38
1585,castaneda_2013,stock_lower,1652.9
1585,castaneda_2013,stock_upper,1918.9
1586,castaneda_2013,production_tonnes,7.38
1586,castaneda_2013,stock_lower,1660.28
1586,castaneda_2013,stock_upper,1926.3
1587,castaneda_2013,production_tonnes,7.38
1587,castaneda_2013,stock_lower,1667.66
1587,castaneda_2013,stock_upper,1933.7
1588,castaneda_2013,production_tonnes,7.38
1588,castaneda_2013,stock_lower,1675.04
1588,castaneda_2013,stock_upper,1941
1589,castaneda_2013,production_tonnes,7.38
1589,castaneda_2013,stock_lower,1682.42
1589,castaneda_2013,stock_upper,1948.4
1590,castaneda_2013,production_tonnes,7.38
1590,castaneda_2013,stock_lower,1689.8
1590,castaneda_2013,stock_upper,1955.8
1591,castaneda_2013,production_tonnes,7.38
1591,castaneda_2013,stock_lower,1697.18
1591,castaneda_2013,stock_upper,1963.2
1592,castaneda_2013,production_tonnes,7.38
1592,castaneda_2013,stock_lower,1704.56
1592,castaneda_2013,stock_upper,1970.6
1593,castaneda_2013,production_tonnes,7.38
1593,castaneda_2013,stock_lower,1711.94
1593,castaneda_2013,stock_upper,1977.9
1594,castaneda_2013,production_tonnes,7.38
1594,castaneda_2013,stock_lower,1719.32
1594,castaneda_2013,stock_upper,1985.3
1595,castaneda_2013,production_tonnes,7.38
1595,castaneda_2013,stock_lower,1726.7
1595,castaneda_2013,stock_upper,1992.7
1596,castaneda_2013,production_tonnes,7.38
1596,castaneda_2013,stock_lower,1734.08
1596,castaneda_2013,stock_upper,2000.1
1597,castaneda_2013,production_tonnes,7.38
1597,castaneda_2013,stock_lower,1741.46
1597,castaneda_2013,stock_upper,2007.5
1598,castaneda_2013,production_tonnes,7.38
1598,castaneda_2013,stock_lower,1748.84
