year,country,region,province,production_tonnes,source
1686,ecuador,South America,NA,194,TePaske
1686,new-granada,South America,NA,6437,TePaske
1696,Brazil,Colonial Brazil,minas_gerais,4327,TePaske
1696,Mexico,New Spain,caja_guadaljara,273,TePaske
1696,Mexico,New Spain,caja_guanajuato,457,TePaske
1696,Mexico,New Spain,caja_mexico,274,TePaske
1696,Mexico,New Spain,caja_san luis potosi,1736,TePaske
1696,Peru,Viceroyalty of Peru,caja_cuzco,80,TePaske
1696,Peru,Viceroyalty of Peru,caja_la-paz,12,TePaske
1696,Peru,Viceroyalty of Peru,caja_lima,13,TePaske
1696,Peru,Viceroyalty of Peru,caja_oruro,212,TePaske
1696,Peru,Viceroyalty of Peru,caja_potosi,7,TePaske
1696,Peru,Viceroyalty of Peru,caja_trujillo,226,TePaske
1696,brazil,South America,NA,4327,TePaske
1696,chile,South America,NA,60,TePaske
1696,ecuador,South America,NA,339,TePaske
1696,new-granada,South America,NA,4950,TePaske
1706,Brazil,Colonial Brazil,minas_gerais,43270,TePaske
1706,Mexico,New Spain,caja_guadaljara,66,TePaske
1706,Mexico,New Spain,caja_guanajuato,162,TePaske
1706,Mexico,New Spain,caja_mexico,307,TePaske
1706,Mexico,New Spain,caja_san luis potosi,1677,TePaske
1706,Peru,Viceroyalty of Peru,caja_carabaya,8,TePaske
1706,Peru,Viceroyalty of Peru,caja_chucuito,5,TePaske
1706,Peru,Viceroyalty of Peru,caja_cuzco,82,TePaske
1706,Peru,Viceroyalty of Peru,caja_la-paz,43,TePaske
1706,Peru,Viceroyalty of Peru,caja_lima,66,TePaske
1706,Peru,Viceroyalty of Peru,caja_oruro,229,TePaske
1706,Peru,Viceroyalty of Peru,caja_potosi,25,TePaske
1706,Peru,Viceroyalty of Peru,caja_trujillo,162,TePaske
1706,brazil,South America,NA,43270,TePaske
1706,chile,South America,NA,15,TePaske
1706,ecuador,South America,NA,291,TePaske
1706,new-granada,South America,NA,5140,TePaske
1716,Brazil,Colonial Brazil,mato_grosso-goais,2378,TePaske
1716,Brazil,Colonial Brazil,minas_gerais,43270,TePaske
1716,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,915,TePaske
1716,Mexico,New Spain,caja_guadaljara,58,TePaske
1716,Mexico,New Spain,caja_guanajuato,168,TePaske
1716,Mexico,New Spain,caja_mexico,317,TePaske
1716,Mexico,New Spain,caja_san luis potosi,1955,TePaske
1716,Peru,Viceroyalty of Peru,caja_carabaya,8,TePaske
1716,Peru,Viceroyalty of Peru,caja_chucuito,21,TePaske
1716,Peru,Viceroyalty of Peru,caja_cuzco,20,TePaske
1716,Peru,Viceroyalty of Peru,caja_la-paz,43,TePaske
1716,Peru,Viceroyalty of Peru,caja_oruro,229,TePaske
1716,Peru,Viceroyalty of Peru,caja_potosi,14,TePaske
1716,Peru,Viceroyalty of Peru,caja_trujillo,69,TePaske
1716,brazil,South America,NA,46563,TePaske
1716,chile,South America,NA,188,TePaske
1716,ecuador,South America,NA,339,TePaske
1716,new-granada,South America,NA,7499,TePaske
