year,country,production_tonnes,source
1696,brazil,4327,TePaske_LatinAmerica
1706,mexico,2212,TePaske_LatinAmerica
1706,peru,620,TePaske_LatinAmerica
1706,new granada,5140,TePaske_LatinAmerica
1706,ecuador,291,TePaske_LatinAmerica
1706,chile,15,TePaske_LatinAmerica
1706,brazil,43270,TePaske_LatinAmerica
1716,mexico,2498,TePaske_LatinAmerica
1716,peru,404,TePaske_LatinAmerica
1716,new granada,7499,TePaske_LatinAmerica
1716,ecuador,339,TePaske_LatinAmerica
1716,chile,188,TePaske_LatinAmerica
1716,brazil,46563,TePaske_LatinAmerica
1726,mexico,2555,TePaske_LatinAmerica
1726,peru,332,TePaske_LatinAmerica
1726,new granada,8570,TePaske_LatinAmerica
1726,ecuador,144,TePaske_LatinAmerica
1726,chile,254,TePaske_LatinAmerica
1726,brazil,103315,TePaske_LatinAmerica
1736,mexico,4816,TePaske_LatinAmerica
1736,peru,286,TePaske_LatinAmerica
1736,new granada,102101,TePaske_LatinAmerica
1736,ecuador,96,TePaske_LatinAmerica
1736,chile,426,TePaske_LatinAmerica
1736,brazil,137930,TePaske_LatinAmerica
1746,mexico,7411,TePaske_LatinAmerica
1746,peru,257,TePaske_LatinAmerica
1746,new granada,147931,TePaske_LatinAmerica
1746,ecuador,48,TePaske_LatinAmerica
1746,chile,709,TePaske_LatinAmerica
1746,brazil,145430,TePaske_LatinAmerica
1756,mexico,7493,TePaske_LatinAmerica
1756,peru,191,TePaske_LatinAmerica
1756,new granada,177591,TePaske_LatinAmerica
1756,ecuador,2012,TePaske_LatinAmerica
1756,chile,1108,TePaske_LatinAmerica
1756,brazil,111680,TePaske_LatinAmerica
1766,mexico,9897,TePaske_LatinAmerica
1766,peru,1299,TePaske_LatinAmerica
1766,new granada,205012,TePaske_LatinAmerica
1766,ecuador,1676,TePaske_LatinAmerica
1766,chile,6673,TePaske_LatinAmerica
1766,brazil,107930,TePaske_LatinAmerica
1776,mexico,12220,TePaske_LatinAmerica
1776,peru,5844,TePaske_LatinAmerica
1776,new granada,226812,TePaske_LatinAmerica
1776,ecuador,1789,TePaske_LatinAmerica
1776,chile,9134,TePaske_LatinAmerica
1776,brazil,107930,TePaske_LatinAmerica
1776,other,128,TePaske_LatinAmerica
1786,mexico,8738,TePaske_LatinAmerica
1786,peru,11758,TePaske_LatinAmerica
1786,new granada,278692,TePaske_LatinAmerica
1786,ecuador,4049,TePaske_LatinAmerica
1786,chile,9243,TePaske_LatinAmerica
1786,brazil,92930,TePaske_LatinAmerica
1786,other,592,TePaske_LatinAmerica
1796,mexico,15422,TePaske_LatinAmerica
1796,peru,15725,TePaske_LatinAmerica
1796,new granada,331303,TePaske_LatinAmerica
1796,ecuador,4846,TePaske_LatinAmerica
1796,chile,9137,TePaske_LatinAmerica
1796,brazil,70430,TePaske_LatinAmerica
1796,other,802,TePaske_LatinAmerica
1806,mexico,23843,TePaske_LatinAmerica
1806,peru,11747,TePaske_LatinAmerica
1806,new granada,345353,TePaske_LatinAmerica
1806,ecuador,914,TePaske_LatinAmerica
1806,chile,11560,TePaske_LatinAmerica
1806,brazil,37715,TePaske_LatinAmerica
1806,other,2590,TePaske_LatinAmerica
1526,caja_mexico,2358,TePaske_Mexico
1536,caja_mexico,3769,TePaske_Mexico
1546,caja_mexico,1256,TePaske_Mexico
1556,caja_mexico,124,TePaske_Mexico
1566,caja_mexico,124,TePaske_Mexico
1576,caja_mexico,78,TePaske_Mexico
1586,caja_mexico,82,TePaske_Mexico
1596,caja_mexico,1483,TePaske_Mexico
1606,caja_mexico,3526,TePaske_Mexico
1606,caja_durango,6,TePaske_Mexico
1606,caja_zacatecas,3,TePaske_Mexico
1616,caja_mexico,4010,TePaske_Mexico
1626,caja_mexico,3260,TePaske_Mexico
1626,caja_san luis potosi,1168,TePaske_Mexico
1636,caja_mexico,143,TePaske_Mexico
1636,caja_san luis potosi,3781,TePaske_Mexico
1646,caja_mexico,65,TePaske_Mexico
1646,caja_san luis potosi,2358,TePaske_Mexico
1646,caja_guadaljara,4,TePaske_Mexico
1656,caja_mexico,724,TePaske_Mexico
1656,caja_durango,11,TePaske_Mexico
1656,caja_san luis potosi,1936,TePaske_Mexico
1656,caja_guadaljara,16,TePaske_Mexico
1666,caja_mexico,517,TePaske_Mexico
1666,caja_san luis potosi,2215,TePaske_Mexico
1666,caja_guadaljara,98,TePaske_Mexico
1666,caja_guanajuato,113,TePaske_Mexico
1676,caja_mexico,49,TePaske_Mexico
1676,caja_zacatecas,2,TePaske_Mexico
1676,caja_san luis potosi,1532,TePaske_Mexico
1676,caja_guadaljara,503,TePaske_Mexico
1676,caja_guanajuato,286,TePaske_Mexico
1686,caja_mexico,38,TePaske_Mexico
1686,caja_san luis potosi,1494,TePaske_Mexico
1686,caja_guadaljara,422,TePaske_Mexico
1686,caja_guanajuato,232,TePaske_Mexico
1696,caja_mexico,274,TePaske_Mexico
1696,caja_san luis potosi,1736,TePaske_Mexico
1696,caja_guadaljara,273,TePaske_Mexico
1696,caja_guanajuato,457,TePaske_Mexico
1706,caja_mexico,307,TePaske_Mexico
1706,caja_san luis potosi,1677,TePaske_Mexico
1706,caja_guadaljara,66,TePaske_Mexico
1706,caja_guanajuato,162,TePaske_Mexico
1716,caja_mexico,317,TePaske_Mexico
1716,caja_san luis potosi,1955,TePaske_Mexico
1716,caja_guadaljara,58,TePaske_Mexico
1716,caja_guanajuato,168,TePaske_Mexico
1726,caja_mexico,306,TePaske_Mexico
1726,caja_san luis potosi,1736,TePaske_Mexico
1726,caja_guadaljara,224,TePaske_Mexico
1726,caja_guanajuato,284,TePaske_Mexico
1726,caja_zimapan,5,TePaske_Mexico
1736,caja_mexico,687,TePaske_Mexico
1736,caja_zacatecas,5,TePaske_Mexico
1736,caja_san luis potosi,1561,TePaske_Mexico
1736,caja_guadaljara,370,TePaske_Mexico
1736,caja_guanajuato,2182,TePaske_Mexico
1736,caja_zimapan,6,TePaske_Mexico
1736,caja_pachuca,5,TePaske_Mexico
1746,caja_mexico,1001,TePaske_Mexico
1746,caja_durango,584,TePaske_Mexico
1746,caja_zacatecas,7,TePaske_Mexico
1746,caja_san luis potosi,1243,TePaske_Mexico
1746,caja_guadaljara,404,TePaske_Mexico
1746,caja_guanajuato,3911,TePaske_Mexico
1746,caja_zimapan,209,TePaske_Mexico
1746,caja_pachuca,52,TePaske_Mexico
1756,caja_mexico,910,TePaske_Mexico
1756,caja_durango,2859,TePaske_Mexico
1756,caja_zacatecas,18,TePaske_Mexico
1756,caja_san luis potosi,904,TePaske_Mexico
1756,caja_guadaljara,605,TePaske_Mexico
1756,caja_guanajuato,1136,TePaske_Mexico
1756,caja_zimapan,1024,TePaske_Mexico
1756,caja_pachuca,37,TePaske_Mexico
1766,caja_mexico,1312,TePaske_Mexico
1766,caja_durango,3529,TePaske_Mexico
1766,caja_zacatecas,73,TePaske_Mexico
1766,caja_san luis potosi,1117,TePaske_Mexico
1766,caja_guadaljara,1675,TePaske_Mexico
1766,caja_guanajuato,1695,TePaske_Mexico
1766,caja_zimapan,294,TePaske_Mexico
1766,caja_pachuca,22,TePaske_Mexico
1766,caja_rosario,180,TePaske_Mexico
1776,caja_mexico,1649,TePaske_Mexico
1776,caja_durango,1000,TePaske_Mexico
1776,caja_zacatecas,106,TePaske_Mexico
1776,caja_san luis potosi,1468,TePaske_Mexico
1776,caja_guadaljara,537,TePaske_Mexico
1776,caja_guanajuato,2461,TePaske_Mexico
1776,caja_zimapan,239,TePaske_Mexico
1776,caja_pachuca,21,TePaske_Mexico
1776,caja_rosario,4739,TePaske_Mexico
1786,caja_mexico,798,TePaske_Mexico
1786,caja_durango,1289,TePaske_Mexico
1786,caja_zacatecas,171,TePaske_Mexico
1786,caja_san luis potosi,650,TePaske_Mexico
1786,caja_guadaljara,634,TePaske_Mexico
1786,caja_guanajuato,2111,TePaske_Mexico
1786,caja_zimapan,134,TePaske_Mexico
1786,caja_pachuca,32,TePaske_Mexico
1786,caja_rosario,2901,TePaske_Mexico
1786,caja_chihuahua,18,TePaske_Mexico
1796,caja_mexico,2079,TePaske_Mexico
1796,caja_durango,5428,TePaske_Mexico
1796,caja_zacatecas,48,TePaske_Mexico
1796,caja_san luis potosi,372,TePaske_Mexico
1796,caja_guadaljara,490,TePaske_Mexico
1796,caja_guanajuato,2384,TePaske_Mexico
1796,caja_zimapan,60,TePaske_Mexico
1796,caja_pachuca,18,TePaske_Mexico
1796,caja_rosario,4279,TePaske_Mexico
1796,caja_chihuahua,264,TePaske_Mexico
1806,caja_mexico,3340,TePaske_Mexico
1806,caja_durango,9797,TePaske_Mexico
1806,caja_zacatecas,20,TePaske_Mexico
1806,caja_san luis potosi,264,TePaske_Mexico
1806,caja_guadaljara,357,TePaske_Mexico
1806,caja_guanajuato,3727,TePaske_Mexico
1806,caja_zimapan,45,TePaske_Mexico
1806,caja_pachuca,27,TePaske_Mexico
1806,caja_rosario,4849,TePaske_Mexico
1806,caja_chihuahua,1417,TePaske_Mexico
1536,caja_lima,8541,TePaske_Peru
1546,caja_lima,4827,TePaske_Peru
1556,caja_lima,3533,TePaske_Peru
1566,caja_lima,1183,TePaske_Peru
1576,caja_lima,1104,TePaske_Peru
1586,caja_lima,299,TePaske_Peru
1586,caja_cuzco,638,TePaske_Peru
1586,caja_huancavelica,65,TePaske_Peru
1596,caja_lima,56,TePaske_Peru
1596,caja_cuzco,105,TePaske_Peru
1606,caja_lima,25,TePaske_Peru
1606,caja_cuzco,55,TePaske_Peru
1616,caja_lima,1,TePaske_Peru
1656,caja_trujillo,2,TePaske_Peru
1666,caja_lima,70,TePaske_Peru
1676,caja_lima,65,TePaske_Peru
