year,country,region,province,geographic_level,production_tonnes,source
1686,Mexico,New Spain,caja_guadaljara,province,422,TePaske
1686,Mexico,New Spain,caja_guanajuato,province,232,TePaske
1686,Mexico,New Spain,caja_mexico,province,38,TePaske
1686,Mexico,New Spain,caja_san luis potosi,province,1494,TePaske
1686,Peru,Viceroyalty of Peru,caja_carabaya,province,1,TePaske
1686,Peru,Viceroyalty of Peru,caja_cuzco,province,109,TePaske
1686,Peru,Viceroyalty of Peru,caja_la-paz,province,38,TePaske
1686,Peru,Viceroyalty of Peru,caja_lima,province,1,TePaske
1686,Peru,Viceroyalty of Peru,caja_potosi,province,13,TePaske
1686,Peru,Viceroyalty of Peru,caja_trujillo,province,105,TePaske
1686,Ecuador,South America,NA,region,194,TePaske
1686,New Granada,South America,NA,region,6437,TePaske
1696,Brazil,Colonial Brazil,minas_gerais,province,4327,TePaske
1696,Mexico,New Spain,caja_guadaljara,province,273,TePaske
1696,Mexico,New Spain,caja_guanajuato,province,457,TePaske
1696,Mexico,New Spain,caja_mexico,province,274,TePaske
1696,Mexico,New Spain,caja_san luis potosi,province,1736,TePaske
1696,Peru,Viceroyalty of Peru,caja_cuzco,province,80,TePaske
1696,Peru,Viceroyalty of Peru,caja_la-paz,province,12,TePaske
1696,Peru,Viceroyalty of Peru,caja_lima,province,13,TePaske
1696,Peru,Viceroyalty of Peru,caja_oruro,province,212,TePaske
1696,Peru,Viceroyalty of Peru,caja_potosi,province,7,TePaske
1696,Peru,Viceroyalty of Peru,caja_trujillo,province,226,TePaske
1696,Brazil,South America,NA,country,4327,TePaske
1696,Chile,South America,NA,region,60,TePaske
1696,Ecuador,South America,NA,region,339,TePaske
1696,New Granada,South America,NA,region,4950,TePaske
1706,Brazil,Colonial Brazil,minas_gerais,province,43270,TePaske
1706,Mexico,New Spain,caja_guadaljara,province,66,TePaske
1706,Mexico,New Spain,caja_guanajuato,province,162,TePaske
1706,Mexico,New Spain,caja_mexico,province,307,TePaske
1706,Mexico,New Spain,caja_san luis potosi,province,1677,TePaske
1706,Peru,Viceroyalty of Peru,caja_carabaya,province,8,TePaske
1706,Peru,Viceroyalty of Peru,caja_chucuito,province,5,TePaske
1706,Peru,Viceroyalty of Peru,caja_cuzco,province,82,TePaske
1706,Peru,Viceroyalty of Peru,caja_la-paz,province,43,TePaske
1706,Peru,Viceroyalty of Peru,caja_lima,province,66,TePaske
1706,Peru,Viceroyalty of Peru,caja_oruro,province,229,TePaske
1706,Peru,Viceroyalty of Peru,caja_potosi,province,25,TePaske
1706,Peru,Viceroyalty of Peru,caja_trujillo,province,162,TePaske
1706,Brazil,South America,NA,country,43270,TePaske
1706,Chile,South America,NA,region,15,TePaske
1706,Ecuador,South America,NA,region,291,TePaske
1706,New Granada,South America,NA,region,5140,TePaske
1716,Brazil,Colonial Brazil,mato_grosso-goais,province,2378,TePaske
1716,Brazil,Colonial Brazil,minas_gerais,province,43270,TePaske
1716,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,915,TePaske
1716,Mexico,New Spain,caja_guadaljara,province,58,TePaske
1716,Mexico,New Spain,caja_guanajuato,province,168,TePaske
1716,Mexico,New Spain,caja_mexico,province,317,TePaske
1716,Mexico,New Spain,caja_san luis potosi,province,1955,TePaske
1716,Peru,Viceroyalty of Peru,caja_carabaya,province,8,TePaske
1716,Peru,Viceroyalty of Peru,caja_chucuito,province,21,TePaske
1716,Peru,Viceroyalty of Peru,caja_cuzco,province,20,TePaske
1716,Peru,Viceroyalty of Peru,caja_la-paz,province,43,TePaske
1716,Peru,Viceroyalty of Peru,caja_oruro,province,229,TePaske
1716,Peru,Viceroyalty of Peru,caja_potosi,province,14,TePaske
1716,Peru,Viceroyalty of Peru,caja_trujillo,province,69,TePaske
1716,Brazil,South America,NA,country,46563,TePaske
1716,Chile,South America,NA,region,188,TePaske
1716,Ecuador,South America,NA,region,339,TePaske
1716,New Granada,South America,NA,region,7499,TePaske
1726,Brazil,Colonial Brazil,mato_grosso-goais,province,23780,TePaske
1726,Brazil,Colonial Brazil,minas_gerais,province,70385,TePaske
1726,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,9150,TePaske
1726,Mexico,New Spain,caja_guadaljara,province,224,TePaske
1726,Mexico,New Spain,caja_guanajuato,province,284,TePaske
1726,Mexico,New Spain,caja_mexico,province,306,TePaske
1726,Mexico,New Spain,caja_san luis potosi,province,1736,TePaske
1726,Mexico,New Spain,caja_zimapan,province,5,TePaske
1726,Peru,Viceroyalty of Peru,caja_carabaya,province,9,TePaske
1726,Peru,Viceroyalty of Peru,caja_cuzco,province,17,TePaske
1726,Peru,Viceroyalty of Peru,caja_la-paz,province,9,TePaske
1726,Peru,Viceroyalty of Peru,caja_oruro,province,292,TePaske
1726,Peru,Viceroyalty of Peru,caja_trujillo,province,5,TePaske
1726,Brazil,South America,NA,country,103315,TePaske
1726,Chile,South America,NA,region,254,TePaske
1726,Ecuador,South America,NA,region,144,TePaske
1726,New Granada,South America,NA,region,8570,TePaske
1736,Brazil,Colonial Brazil,mato_grosso-goais,province,23780,TePaske
1736,Brazil,Colonial Brazil,minas_gerais,province,105000,TePaske
1736,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,9150,TePaske
1736,Mexico,New Spain,caja_guadaljara,province,370,TePaske
1736,Mexico,New Spain,caja_guanajuato,province,2182,TePaske
1736,Mexico,New Spain,caja_mexico,province,687,TePaske
1736,Mexico,New Spain,caja_pachuca,province,5,TePaske
1736,Mexico,New Spain,caja_san luis potosi,province,1561,TePaske
1736,Mexico,New Spain,caja_zacatecas,province,5,TePaske
1736,Mexico,New Spain,caja_zimapan,province,6,TePaske
1736,Peru,Viceroyalty of Peru,caja_chucuito,province,1,TePaske
1736,Peru,Viceroyalty of Peru,caja_cuzco,province,39,TePaske
1736,Peru,Viceroyalty of Peru,caja_oruro,province,243,TePaske
1736,Peru,Viceroyalty of Peru,caja_trujillo,province,3,TePaske
1736,Brazil,South America,NA,country,137930,TePaske
1736,Chile,South America,NA,region,426,TePaske
1736,Ecuador,South America,NA,region,96,TePaske
1736,New Granada,South America,NA,region,10210,TePaske
1746,Brazil,Colonial Brazil,mato_grosso-goais,province,23780,TePaske
1746,Brazil,Colonial Brazil,minas_gerais,province,112500,TePaske
1746,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,9150,TePaske
1746,Mexico,New Spain,caja_durango,province,584,TePaske
1746,Mexico,New Spain,caja_guadaljara,province,404,TePaske
1746,Mexico,New Spain,caja_guanajuato,province,3911,TePaske
1746,Mexico,New Spain,caja_mexico,province,1001,TePaske
1746,Mexico,New Spain,caja_pachuca,province,52,TePaske
1746,Mexico,New Spain,caja_san luis potosi,province,1243,TePaske
1746,Mexico,New Spain,caja_zacatecas,province,7,TePaske
1746,Mexico,New Spain,caja_zimapan,province,209,TePaske
1746,Peru,Viceroyalty of Peru,caja_cuzco,province,1,TePaske
1746,Peru,Viceroyalty of Peru,caja_la-paz,province,1,TePaske
1746,Peru,Viceroyalty of Peru,caja_oruro,province,255,TePaske
1746,Brazil,South America,NA,country,145430,TePaske
1746,Chile,South America,NA,region,709,TePaske
1746,Ecuador,South America,NA,region,48,TePaske
1746,New Granada,South America,NA,region,14793,TePaske
1756,Brazil,Colonial Brazil,mato_grosso-goais,province,23780,TePaske
1756,Brazil,Colonial Brazil,minas_gerais,province,78750,TePaske
1756,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,9150,TePaske
1756,Mexico,New Spain,caja_durango,province,2859,TePaske
1756,Mexico,New Spain,caja_guadaljara,province,605,TePaske
1756,Mexico,New Spain,caja_guanajuato,province,1136,TePaske
1756,Mexico,New Spain,caja_mexico,province,910,TePaske
1756,Mexico,New Spain,caja_pachuca,province,37,TePaske
1756,Mexico,New Spain,caja_san luis potosi,province,904,TePaske
1756,Mexico,New Spain,caja_zacatecas,province,18,TePaske
1756,Mexico,New Spain,caja_zimapan,province,1024,TePaske
1756,Peru,Viceroyalty of Peru,caja_la-paz,province,21,TePaske
1756,Peru,Viceroyalty of Peru,caja_oruro,province,170,TePaske
1756,Brazil,South America,NA,country,111680,TePaske
1756,Chile,South America,NA,region,1108,TePaske
1756,Ecuador,South America,NA,region,2012,TePaske
1756,New Granada,South America,NA,region,17759,TePaske
1766,Brazil,Colonial Brazil,mato_grosso-goais,province,23780,TePaske
1766,Brazil,Colonial Brazil,minas_gerais,province,75000,TePaske
1766,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,9150,TePaske
1766,Mexico,New Spain,caja_durango,province,3529,TePaske
1766,Mexico,New Spain,caja_guadaljara,province,1675,TePaske
1766,Mexico,New Spain,caja_guanajuato,province,1695,TePaske
1766,Mexico,New Spain,caja_mexico,province,1312,TePaske
1766,Mexico,New Spain,caja_pachuca,province,22,TePaske
1766,Mexico,New Spain,caja_rosario,province,180,TePaske
1766,Mexico,New Spain,caja_san luis potosi,province,1117,TePaske
1766,Mexico,New Spain,caja_zacatecas,province,73,TePaske
1766,Mexico,New Spain,caja_zimapan,province,294,TePaske
1766,Peru,Viceroyalty of Peru,caja_lima,province,1217,TePaske
1766,Peru,Viceroyalty of Peru,caja_oruro,province,68,TePaske
1766,Peru,Viceroyalty of Peru,caja_trujillo,province,14,TePaske
1766,Brazil,South America,NA,country,107930,TePaske
1766,Chile,South America,NA,region,6673,TePaske
1766,Ecuador,South America,NA,region,1676,TePaske
1766,New Granada,South America,NA,region,20501,TePaske
1776,Brazil,Colonial Brazil,mato_grosso-goais,province,23780,TePaske
1776,Brazil,Colonial Brazil,minas_gerais,province,75000,TePaske
1776,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,9150,TePaske
1776,Mexico,New Spain,caja_durango,province,1000,TePaske
1776,Mexico,New Spain,caja_guadaljara,province,537,TePaske
1776,Mexico,New Spain,caja_guanajuato,province,2461,TePaske
1776,Mexico,New Spain,caja_mexico,province,1649,TePaske
1776,Mexico,New Spain,caja_pachuca,province,21,TePaske
1776,Mexico,New Spain,caja_rosario,province,4739,TePaske
1776,Mexico,New Spain,caja_san luis potosi,province,1468,TePaske
1776,Mexico,New Spain,caja_zacatecas,province,106,TePaske
1776,Mexico,New Spain,caja_zimapan,province,239,TePaske
1776,Peru,Viceroyalty of Peru,caja_la-paz,province,685,TePaske
1776,Peru,Viceroyalty of Peru,caja_lima,province,4252,TePaske
1776,Peru,Viceroyalty of Peru,caja_potosi,province,178,TePaske
1776,Peru,Viceroyalty of Peru,caja_trujillo,province,729,TePaske
1776,Brazil,South America,NA,country,107930,TePaske
1776,Chile,South America,NA,region,9134,TePaske
1776,Ecuador,South America,NA,region,1789,TePaske
1776,New Granada,South America,NA,region,22681,TePaske
1786,Brazil,Colonial Brazil,mato_grosso-goais,province,23780,TePaske
1786,Brazil,Colonial Brazil,minas_gerais,province,60000,TePaske
1786,Brazil,Colonial Brazil,sao_paulo-bahia-ceara,province,9150,TePaske
1786,Mexico,New Spain,caja_chihuahua,province,18,TePaske
1786,Mexico,New Spain,caja_durango,province,1289,TePaske
1786,Mexico,New Spain,caja_guadaljara,province,634,TePaske
1786,Mexico,New Spain,caja_guanajuato,province,2111,TePaske
1786,Mexico,New Spain,caja_mexico,province,798,TePaske
1786,Mexico,New Spain,caja_pachuca,province,32,TePaske
1786,Mexico,New Spain,caja_rosario,province,2901,TePaske
1786,Mexico,New Spain,caja_san luis potosi,province,650,TePaske
1786,Mexico,New Spain,caja_zacatecas,province,171,TePaske
1786,Mexico,New Spain,caja_zimapan,province,134,TePaske
1786,Peru,Viceroyalty of Peru,caja_arequipa,province,57,TePaske
1786,Peru,Viceroyalty of Peru,caja_arica,province,97,TePaske
1786,Peru,Viceroyalty of Peru,caja_cuzco,province,2,TePaske
1786,Peru,Viceroyalty of Peru,caja_la-paz,province,2944,TePaske
